Company,Country,Date,Months,Time,Rocket,Mission,Rocket Status,Price,Mission Status,
US Air Force,USA,6/25/1959,June,10:47:00 PM,Thor-DM18 Agena-A,Discoverer 4,Retired,"$41,810,024.00 ",Failure,
US Air Force,USA,8/7/1959,June,2:24:00 PM,Thor DM-18 Able-III,Explorer 6,Retired,"$39,936,394.00 ",Success,
US Air Force,USA,8/13/1959,June,7:00:00 PM,Thor-DM18 Agena-A,Discoverer 5,Retired,"$11,265,985.00 ",Success,
US Air Force,USA,8/19/1959,June,7:24:00 PM,Thor-DM18 Agena-A,Discoverer 6,Retired,"$25,275,489.00 ",Success,
NASA,USA,9/9/1959,August,8:19:00 AM,Atlas-D Mercury,Big Joe 1,Retired,"$45,399,773.00 ",Partial Failure,
RVSN USSR,Kazakhstan,9/12/1959,August,6:39:00 AM,Vostok,Luna-2,Retired,"$21,759,655.00 ",Success,
US Air Force,USA,9/17/1959,August,2:34:00 PM,Thor DM-18 Able-II,Transit 1A,Retired,"$44,618,485.00 ",Failure,
US Navy,USA,9/18/1959,September,5:20:00 AM,Vanguard,Vanguard 3,Retired,"$16,466,101.00 ",Partial Failure,
RVSN USSR,Kazakhstan,10/4/1959,September,12:43:00 AM,Vostok,Luna-3,Retired,"$35,880,367.00 ",Success,
US Air Force,USA,11/7/1959,September,8:28:00 PM,Thor-DM18 Agena-A,Discoverer 7,Retired,"$23,361,736.00 ",Success,
US Air Force,USA,11/20/1959,September,7:25:00 PM,Thor-DM18 Agena-A,Discoverer 8,Retired,"$12,202,561.00 ",Failure,
General Dynamics,USA,11/26/1959,October,7:26:00 AM,Atlas-D Able,Pioneer P-3,Retired,"$21,178,365.00 ",Failure,
US Air Force,USA,2/4/1960,November,6:51:00 PM,Thor-DM18 Agena-A,Discoverer 9,Retired,"$45,739,536.00 ",Failure,
US Air Force,USA,2/19/1960,November,8:15:00 PM,Thor-DM18 Agena-A,Discoverer 10,Retired,"$24,334,740.00 ",Failure,
General Dynamics,USA,2/26/1960,November,5:25:00 PM,Atlas-LV3 Agena-A,Midas 1,Retired,"$26,259,568.00 ",Failure,
US Air Force,USA,3/11/1960,February,1:00:00 PM,Thor DM-18 Able-IV,Pioneer 5,Retired,"$43,875,475.00 ",Success,
US Air Force,USA,4/1/1960,February,11:40:00 AM,Thor DM-18 Able-II,TIROS-1,Retired,"$42,205,145.00 ",Success,
US Air Force,USA,4/13/1960,February,12:02:00 PM,Thor-DM21 Ablestar,Transit 1B,Retired,"$26,475,192.00 ",Success,
RVSN USSR,Kazakhstan,4/15/1960,March,3:06:00 PM,Vostok,E-3 n†­2 (Luna-3),Retired,"$21,183,612.00 ",Failure,
US Air Force,USA,4/15/1960,April,8:30:00 PM,Thor-DM18 Agena-A,Discoverer 11,Retired,"$24,478,661.00 ",Success,
RVSN USSR,Kazakhstan,4/16/1960,April,,Vostok,E-3 n†­3 (Luna-3),Retired,"$43,450,733.00 ",Failure,
US Air Force,USA,5/13/1960,April,9:16:00 AM,Thor DM-19 Delta,Echo 1,Retired,"$12,418,288.00 ",Failure,
RVSN USSR,Kazakhstan,5/15/1960,April,12:00:00 AM,Vostok,Korabl-Sputnik 1,Retired,"$43,273,503.00 ",Success,
General Dynamics,USA,5/24/1960,April,5:36:00 PM,Atlas-LV3 Agena-A,Midas 2,Retired,"$26,748,734.00 ",Success,
US Air Force,USA,6/22/1960,May,5:54:00 AM,Thor-DM21 Ablestar,Transit 2A & GRAB-1,Retired,"$14,425,124.00 ",Success,
US Air Force,USA,6/29/1960,May,10:00:00 PM,Thor-DM18 Agena-A,Discoverer 12,Retired,"$30,045,598.00 ",Failure,
RVSN USSR,Kazakhstan,7/28/1960,May,9:31:00 AM,Vostok,1K n†­2 (Korabl-Sputnik 2),Retired,"$32,130,304.00 ",Failure,
NASA,USA,7/29/1960,June,1:13:00 PM,Atlas-D Mercury,Mercury-Atlas 1 (MA-1),Retired,"$28,412,861.00 ",Failure,
US Air Force,USA,8/10/1960,June,8:37:00 PM,Thor-DM18 Agena-A,Discoverer 13,Retired,"$39,334,427.00 ",Success,
US Air Force,USA,8/12/1960,July,9:39:00 AM,Thor DM-19 Delta,Echo 1A,Retired,"$23,910,712.00 ",Success,
US Air Force,USA,8/18/1960,July,7:57:00 PM,Thor-DM18 Agena-A,Discoverer 14,Retired,"$36,927,171.00 ",Success,
US Air Force,USA,8/18/1960,August,7:58:00 PM,Thor-DM21 Ablestar,Courier 1A,Retired,"$15,455,404.00 ",Failure,
RVSN USSR,Kazakhstan,8/19/1960,August,8:44:00 AM,Vostok,Korabl-Sputnik 2,Retired,"$40,128,521.00 ",Success,
US Air Force,USA,9/13/1960,August,10:14:00 PM,Thor-DM18 Agena-A,Discoverer 15,Retired,"$22,610,511.00 ",Success,
General Dynamics,USA,9/25/1960,August,3:13:00 PM,Atlas-D Able,Pioneer P-30,Retired,"$12,729,349.00 ",Failure,
US Air Force,USA,10/4/1960,August,5:50:00 PM,Thor-DM21 Ablestar,Courier 1B,Retired,"$18,969,888.00 ",Success,
RVSN USSR,Kazakhstan,10/10/1960,September,2:27:00 PM,Molniya,1M n†­1 (Marsnik 1),Retired,"$41,218,169.00 ",Failure,
General Dynamics,USA,10/11/1960,September,8:33:00 PM,Atlas-LV3 Agena-A,Samos 1,Retired,"$23,158,460.00 ",Failure,
RVSN USSR,Kazakhstan,10/14/1960,October,1:51:00 PM,Molniya,1M n†­2 (Marsnik 2),Retired,"$45,756,691.00 ",Failure,
US Air Force,USA,10/26/1960,October,8:26:00 PM,Thor DM-21 Agena-B,Discoverer 16,Retired,"$28,473,833.00 ",Failure,
US Air Force,USA,11/12/1960,October,8:43:00 PM,Thor DM-21 Agena-B,Discoverer 17,Retired,"$33,131,832.00 ",Success,
NASA,USA,11/21/1960,October,2:00:00 PM,Mercury-Redstone,Mercury-Redstone 1 (MR-1),Retired,"$42,587,468.00 ",Failure,
US Air Force,USA,11/23/1960,October,11:13:00 AM,Thor DM-19 Delta,TIROS-2,Retired,"$39,340,866.00 ",Success,
US Air Force,USA,11/30/1960,November,7:50:00 PM,Thor-DM21 Ablestar,Transit 3A & GRAB-2,Retired,"$27,321,510.00 ",Failure,
RVSN USSR,Kazakhstan,12/1/1960,November,7:30:00 AM,Vostok,Korabl-Sputnik 3,Retired,"$23,946,803.00 ",Success,
NASA,USA,12/4/1960,November,9:14:00 PM,Scout X-1,Explorer (S-56),Retired,"$41,549,267.00 ",Failure,
US Air Force,USA,12/7/1960,November,8:20:00 PM,Thor DM-21 Agena-B,Discoverer 18,Retired,"$10,565,518.00 ",Success,
General Dynamics,USA,12/15/1960,December,9:10:00 AM,Atlas-D Able,Pioneer P-31,Retired,"$28,497,910.00 ",Failure,
NASA,USA,12/19/1960,December,4:15:00 PM,Mercury-Redstone,Mercury-Redstone 1A (MR-1A),Retired,"$31,765,709.00 ",Success,
US Air Force,USA,12/20/1960,December,8:32:00 PM,Thor DM-21 Agena-B,Discoverer 19,Retired,"$26,960,792.00 ",Success,
RVSN USSR,Kazakhstan,12/22/1960,December,7:45:00 AM,Vostok,1K n†­5 (Korabl-Sputnik 3),Retired,"$33,011,987.00 ",Failure,
NASA,USA,1/31/1961,December,4:55:00 PM,Mercury-Redstone,Mercury-Redstone 2 (MR-2),Retired,"$41,722,146.00 ",Success,
General Dynamics,USA,1/31/1961,December,8:21:00 PM,Atlas-LV3 Agena-A,Samos 2,Retired,"$19,287,347.00 ",Success,
RVSN USSR,Kazakhstan,2/4/1961,December,1:18:00 AM,Molniya,1VA n†­1 (Venera 1),Retired,"$18,874,164.00 ",Failure,
RVSN USSR,Kazakhstan,2/12/1961,January,12:34:00 AM,Molniya,Venera 1,Retired,"$43,990,274.00 ",Success,
NASA,USA,2/16/1961,January,1:05:00 PM,Scout X-1,Explorer 9 (S-56A),Retired,"$21,849,522.00 ",Success,
US Air Force,USA,2/17/1961,February,8:25:00 PM,Thor DM-21 Agena-B,Discoverer 20,Retired,"$32,349,834.00 ",Success,
US Air Force,USA,2/18/1961,February,10:58:00 PM,Thor DM-21 Agena-B,Discoverer 21,Retired,"$12,855,077.00 ",Success,
NASA,USA,2/21/1961,February,2:12:00 PM,Atlas-D Mercury,Mercury-Atlas 2 (MA-2),Retired,"$27,068,929.00 ",Success,
US Air Force,USA,2/22/1961,February,3:45:00 AM,Thor-DM21 Ablestar,Transit 3B & Lofti 1,Retired,"$25,964,208.00 ",Success,
RVSN USSR,Kazakhstan,3/9/1961,February,6:29:00 AM,Vostok,Korabl-Sputnik 4,Retired,"$42,037,465.00 ",Success,
NASA,USA,3/24/1961,February,5:30:00 PM,Mercury-Redstone,Mercury-Redstone BD (MR-BD),Retired,"$43,692,103.00 ",Success,
RVSN USSR,Kazakhstan,3/25/1961,February,5:54:00 AM,Vostok,Korabl-Sputnik 5,Retired,"$12,576,788.00 ",Success,
US Air Force,USA,3/25/1961,March,3:17:00 PM,Thor DM-19 Delta,Explorer 10,Retired,"$17,185,483.00 ",Success,
US Air Force,USA,3/30/1961,March,8:34:00 PM,Thor DM-21 Agena-B,Discoverer 22,Retired,"$38,652,598.00 ",Failure,
US Air Force,USA,4/8/1961,March,7:21:00 PM,Thor DM-21 Agena-B,Discoverer 23,Retired,"$14,064,276.00 ",Success,
RVSN USSR,Kazakhstan,4/12/1961,March,6:07:00 AM,Vostok,Vostok 1,Retired,"$25,539,750.00 ",Success,
NASA,USA,4/25/1961,March,4:15:00 PM,Atlas-D Mercury,Mercury-Atlas 3 (MA-3),Retired,"$15,595,077.00 ",Failure,
NASA,USA,5/5/1961,April,2:34:00 PM,Mercury-Redstone,Freedom 7 (MR-3),Retired,"$32,111,699.00 ",Success,
US Air Force,USA,6/8/1961,April,9:16:00 PM,Thor DM-21 Agena-B,Discoverer 24,Retired,"$29,286,437.00 ",Failure,
US Air Force,USA,6/16/1961,April,11:02:00 PM,Thor DM-21 Agena-B,Discoverer 25,Retired,"$12,982,412.00 ",Success,
US Air Force,USA,6/29/1961,May,4:22:00 AM,Thor-DM21 Ablestar,"Transit 4A, Injun 1 & GRAB-3",Retired,"$29,234,913.00 ",Success,
NASA,USA,6/30/1961,June,5:09:00 PM,Scout X-1,Explorer (S-55),Retired,"$33,193,374.00 ",Failure,
US Air Force,USA,7/7/1961,June,11:29:00 PM,Thor DM-21 Agena-B,Discoverer 26,Retired,"$21,809,559.00 ",Success,
US Air Force,USA,7/12/1961,June,10:25:00 AM,Thor DM-19 Delta,TIROS-3,Retired,"$42,884,048.00 ",Success,
General Dynamics,USA,7/12/1961,June,3:11:00 PM,Atlas-LV3 Agena-B,Midas 3,Retired,"$10,966,156.00 ",Success,
NASA,USA,7/21/1961,July,12:36:00 PM,Mercury-Redstone,Liberty Bell 7 (MR-4),Retired,"$41,447,049.00 ",Success,
US Air Force,USA,7/21/1961,July,10:35:00 PM,Thor DM-21 Agena-B,Discoverer 27,Retired,"$41,957,539.00 ",Failure,
US Air Force,USA,8/4/1961,July,12:01:00 AM,Thor DM-21 Agena-B,Discoverer 28,Retired,"$23,656,417.00 ",Failure,
RVSN USSR,Kazakhstan,8/6/1961,July,6:00:00 AM,Vostok,Vostok 2,Retired,"$25,144,956.00 ",Success,
US Air Force,USA,8/16/1961,July,3:21:00 AM,Thor DM-19 Delta,Explorer 12,Retired,"$19,068,213.00 ",Success,
General Dynamics,USA,8/23/1961,August,10:04:00 AM,Atlas-LV3 Agena-B,Ranger 1,Retired,"$28,289,060.00 ",Failure,
NASA,USA,8/25/1961,August,6:29:00 PM,Scout X-1,Explorer 13,Retired,"$39,240,381.00 ",Partial Failure,
US Air Force,USA,8/30/1961,August,8:00:00 PM,Thor DM-21 Agena-B,Discoverer 29,Retired,"$45,954,701.00 ",Success,
General Dynamics,USA,9/9/1961,August,7:28:00 PM,Atlas-LV3 Agena-B,Samos 3,Retired,"$14,365,314.00 ",Failure,
US Air Force,USA,9/12/1961,August,7:59:00 PM,Thor DM-21 Agena-B,Discoverer 30,Retired,"$45,778,614.00 ",Success,
NASA,USA,9/13/1961,August,2:04:00 PM,Atlas-D Mercury,Mercury-Atlas 4 (MA-4),Retired,"$30,263,483.00 ",Success,
US Air Force,USA,9/17/1961,September,9:00:00 PM,Thor DM-21 Agena-B,Discoverer 31,Retired,"$33,312,579.00 ",Success,
US Air Force,USA,10/13/1961,September,7:22:00 PM,Thor DM-21 Agena-B,Discoverer 32,Retired,"$19,828,481.00 ",Success,
General Dynamics,USA,10/21/1961,September,1:53:00 PM,Atlas-LV3 Agena-B,Midas 4,Retired,"$20,530,460.00 ",Partial Failure,
US Air Force,USA,10/23/1961,September,7:23:00 PM,Thor DM-21 Agena-B,Discoverer 33,Retired,"$14,777,322.00 ",Failure,
RVSN USSR,Russia,10/27/1961,October,4:30:00 PM,Cosmos-2I (63S1),DS-1 1,Retired,"$41,001,439.00 ",Failure,
NASA,USA,11/1/1961,October,3:32:00 PM,Blue Scout II,Mercury-Scout 1 (MS-1),Retired,"$30,257,926.00 ",Failure,
US Air Force,USA,11/5/1961,October,8:00:00 PM,Thor DM-21 Agena-B,Discoverer 34,Retired,"$14,551,388.00 ",Failure,
US Air Force,USA,11/15/1961,October,9:23:00 PM,Thor DM-21 Agena-B,Discoverer 35,Retired,"$29,482,612.00 ",Success,
US Air Force,USA,11/15/1961,November,10:26:00 PM,Thor-DM21 Ablestar,Transit 4B & TRAAC,Retired,"$44,474,037.00 ",Success,
General Dynamics,USA,11/18/1961,November,8:12:00 AM,Atlas-LV3 Agena-B,Ranger 2,Retired,"$42,647,753.00 ",Failure,
General Dynamics,USA,11/22/1961,November,8:45:00 PM,Atlas-LV3 Agena-B,Samos 4,Retired,"$41,808,079.00 ",Failure,
NASA,USA,11/29/1961,November,3:08:00 PM,Atlas-D Mercury,Mercury-Atlas 5 (MA-5),Retired,"$29,718,134.00 ",Success,
RVSN USSR,Kazakhstan,12/11/1961,November,9:39:00 AM,Vostok,Zenit-2 n†­1,Retired,"$38,769,215.00 ",Failure,
US Air Force,USA,12/12/1961,November,8:40:00 PM,Thor DM-21 Agena-B,Discoverer 36 & Oscar 1,Retired,"$17,522,289.00 ",Success,
RVSN USSR,Russia,12/21/1961,November,12:30:00 PM,Cosmos-2I (63S1),DS-1 2,Retired,"$12,723,409.00 ",Failure,
General Dynamics,USA,12/22/1961,December,7:12:00 PM,Atlas-LV3 Agena-B,Samos 5,Retired,"$12,666,265.00 ",Partial Failure,
US Air Force,USA,1/13/1962,December,9:41:00 PM,Thor DM-21 Agena-B,Discoverer 37,Retired,"$39,916,680.00 ",Failure,
US Air Force,USA,1/24/1962,December,9:30:00 AM,Thor-DM21 Ablestar,LOFTI-2A & Others,Retired,"$44,108,787.00 ",Failure,
General Dynamics,USA,1/26/1962,December,8:30:00 PM,Atlas-LV3 Agena-B,Ranger 3,Retired,"$12,640,330.00 ",Partial Failure,
US Air Force,USA,2/8/1962,January,12:43:00 PM,Thor DM-19 Delta,TIROS-4,Retired,"$26,557,407.00 ",Success,
NASA,USA,2/20/1962,January,2:47:00 PM,Atlas-D Mercury,Friendship 7 (MA-6),Retired,"$41,498,090.00 ",Success,
US Air Force,USA,2/21/1962,January,6:44:00 PM,Thor DM-21 Agena-B,FTV 2301,Retired,"$26,209,493.00 ",Partial Failure,
US Air Force,USA,2/27/1962,February,7:39:00 PM,Thor DM-21 Agena-B,Discoverer 38,Retired,"$38,310,905.00 ",Success,
US Air Force,USA,3/7/1962,February,4:06:00 PM,Thor DM-19 Delta,OSO-1,Retired,"$13,625,984.00 ",Success,
General Dynamics,USA,3/7/1962,February,10:10:00 PM,Atlas-LV3 Agena-B,Samos 6,Retired,"$34,871,764.00 ",Success,
RVSN USSR,Russia,3/16/1962,February,11:59:00 AM,Cosmos-2I (63S1),Cosmos 1,Retired,"$37,006,138.00 ",Success,
RVSN USSR,Russia,4/6/1962,March,5:15:00 PM,Cosmos-2I (63S1),Cosmos 2,Retired,"$44,705,927.00 ",Success,
General Dynamics,USA,4/9/1962,March,3:04:00 PM,Atlas-LV3 Agena-B,Midas 5,Retired,"$30,774,890.00 ",Success,
US Air Force,USA,4/18/1962,March,12:54:00 AM,Thor DM-21 Agena-B,Discoverer 39,Retired,"$40,449,201.00 ",Success,
General Dynamics,USA,4/23/1962,April,8:50:00 PM,Atlas-LV3 Agena-B,Ranger 4,Retired,"$42,807,701.00 ",Success,
RVSN USSR,Russia,4/24/1962,April,4:00:00 AM,Cosmos-2I (63S1),Cosmos 3,Retired,"$30,906,488.00 ",Success,
RVSN USSR,Kazakhstan,4/26/1962,April,10:02:00 AM,Vostok,Cosmos 4,Retired,"$37,624,209.00 ",Success,
NASA,USA,4/26/1962,April,10:49:00 AM,Scout X-2,Solrad 4B,Retired,"$36,180,023.00 ",Failure,
US Air Force,USA,4/26/1962,April,6:00:00 PM,Thor DM-19 Delta,Ariel 1,Retired,"$22,097,207.00 ",Success,
General Dynamics,USA,4/26/1962,April,6:56:00 PM,Atlas-LV3 Agena-B,Samos 7,Retired,"$17,569,881.00 ",Success,
US Air Force,USA,4/29/1962,April,12:30:00 AM,Thor DM-21 Agena-B,FTV 1125,Retired,"$44,291,186.00 ",Success,
General Dynamics,USA,5/8/1962,April,7:49:00 PM,Atlas-LV3C Centaur-A,AC-1 (Test Vehicle),Retired,"$11,856,119.00 ",Failure,
US Air Force,USA,5/10/1962,April,12:06:00 PM,Thor-DM21 Ablestar,ANNA 1A,Retired,"$31,738,354.00 ",Failure,
US Air Force,USA,5/15/1962,April,7:36:00 PM,Thor DM-21 Agena-B,FTV 1126,Retired,"$45,808,922.00 ",Success,
NASA,USA,5/24/1962,May,12:45:00 PM,Atlas-D Mercury,Aurora 7 (MA-7),Retired,"$20,420,295.00 ",Success,
US Air Force,USA,5/24/1962,May,,Scout X-2M,DSAP-1 F1 (Program 35),Retired,"$43,847,784.00 ",Failure,
RVSN USSR,Russia,5/28/1962,May,3:00:00 AM,Cosmos-2I (63S1),Cosmos 5,Retired,"$39,147,389.00 ",Success,
US Air Force,USA,5/30/1962,May,1:00:00 AM,Thor DM-21 Agena-B,FTV 1128,Retired,"$18,696,093.00 ",Success,
RVSN USSR,Kazakhstan,6/1/1962,May,9:37:00 AM,Vostok-2,Zenit-2 n†­3,Retired,"$32,147,341.00 ",Failure,
US Air Force,USA,6/2/1962,May,12:31:00 AM,Thor-DM18 Agena-A,FTV 1127 & Oscar 2,Retired,"$27,060,761.00 ",Success,
General Dynamics,USA,6/17/1962,May,6:14:00 PM,Atlas-LV3 Agena-B,Samos 8,Retired,"$44,622,152.00 ",Success,
US Air Force,USA,6/18/1962,June,8:20:00 PM,Thor DM-21 Agena-B,FTV 2312,Retired,"$40,357,213.00 ",Success,
US Air Force,USA,6/19/1962,June,12:19:00 PM,Thor DM-19 Delta,TIROS-5,Retired,"$20,389,868.00 ",Success,
US Air Force,USA,6/23/1962,June,12:30:00 AM,Thor DM-21 Agena-B,FTV 1129,Retired,"$36,957,266.00 ",Success,
US Air Force,USA,6/28/1962,June,1:09:00 AM,Thor DM-21 Agena-D,FTV 1151,Retired,"$15,839,888.00 ",Success,
RVSN USSR,Russia,6/30/1962,June,4:00:00 PM,Cosmos-2I (63S1),Cosmos 6,Retired,"$14,663,401.00 ",Success,
US Air Force,USA,7/10/1962,June,8:35:00 AM,Thor DM-19 Delta,Telstar 1,Retired,"$18,701,638.00 ",Success,
General Dynamics,USA,7/18/1962,June,8:15:00 PM,Atlas-LV3 Agena-B,Samos 9,Retired,"$16,927,697.00 ",Success,
US Air Force,USA,7/21/1962,June,12:56:00 AM,Thor DM-21 Agena-B,FTV 1130,Retired,"$23,684,564.00 ",Success,
General Dynamics,USA,7/22/1962,July,9:21:00 AM,Atlas-LV3 Agena-B,Mariner 1,Retired,"$36,830,214.00 ",Failure,
US Air Force,USA,7/28/1962,July,12:30:00 AM,Thor DM-21 Agena-B,FTV 1131,Retired,"$40,120,711.00 ",Success,
RVSN USSR,Kazakhstan,7/28/1962,July,9:18:00 AM,Vostok-2,Cosmos 7,Retired,"$41,607,044.00 ",Success,
US Air Force,USA,8/2/1962,July,12:17:00 AM,Thor DM-21 Agena-D,FTV 1152,Retired,"$15,007,527.00 ",Success,
General Dynamics,USA,8/5/1962,July,5:59:00 PM,Atlas-LV3 Agena-B,Samos 10,Retired,"$30,234,699.00 ",Success,
RVSN USSR,Kazakhstan,8/11/1962,July,8:30:00 AM,Vostok,Vostok 3,Retired,"$26,609,257.00 ",Success,
RVSN USSR,Kazakhstan,8/12/1962,August,8:02:00 AM,Vostok,Vostok 4,Retired,"$31,048,568.00 ",Success,
RVSN USSR,Russia,8/18/1962,August,3:00:00 PM,Cosmos-2I (63S1),Cosmos 8,Retired,"$36,638,647.00 ",Success,
US Air Force,USA,8/23/1962,August,11:44:00 AM,Scout X-2M,DSAP-1 F2 (Program 35),Retired,"$29,262,230.00 ",Success,
RVSN USSR,Kazakhstan,8/25/1962,August,2:56:00 AM,Molniya,2MV-1 n†­1 (Venera 2),Retired,"$28,836,810.00 ",Failure,
General Dynamics,USA,8/27/1962,August,6:53:00 AM,Atlas-LV3 Agena-B,Mariner 2,Retired,"$31,418,342.00 ",Success,
US Air Force,USA,8/29/1962,August,1:00:00 AM,Thor DM-21 Agena-D,FTV 1153,Retired,"$44,525,035.00 ",Success,
RVSN USSR,Kazakhstan,9/1/1962,August,2:12:00 AM,Molniya,2MV-1 n†­2 (Venera 2),Retired,"$10,769,138.00 ",Failure,
US Air Force,USA,9/1/1962,August,8:39:00 PM,Thor DM-21 Agena-B,FTV 1132,Retired,"$14,673,826.00 ",Success,
RVSN USSR,Kazakhstan,9/12/1962,August,12:59:00 AM,Molniya,2MV-2 n†­1 (Venera 2),Retired,"$35,847,586.00 ",Failure,
US Air Force,USA,9/17/1962,September,11:46:00 PM,Thor DM-21 Agena-B,FTV 1133 & ERS-2,Retired,"$43,434,063.00 ",Success,
US Air Force,USA,9/18/1962,September,8:53:00 AM,Thor DM-19 Delta,TIROS-6,Retired,"$15,698,850.00 ",Success,
RVSN USSR,Kazakhstan,9/27/1962,September,9:40:00 AM,Vostok-2,Cosmos 9,Retired,"$20,670,756.00 ",Success,
US Air Force,USA,9/29/1962,September,6:05:00 AM,Thor DM-21 Agena-B,Alouette 1 & TAVE,Retired,"$34,001,255.00 ",Success,
US Air Force,USA,9/29/1962,September,11:34:00 PM,Thor DM-21 Agena-D,FTV 1154,Retired,"$27,186,723.00 ",Success,
US Air Force,USA,10/2/1962,September,10:11:00 PM,Delta A,Explorer 14,Retired,"$10,965,368.00 ",Success,
